row_num,owner_link,owner_link2,nft_id,value
24,<a href=https://debank.com/profile/0xae1c38847fb90a13a2a1d7e5552ccd80c62c6508 target=_blank>👤 0xae...6508</a>,<a href=https://arbiscan.io/address/0xae1c38847fb90a13a2a1d7e5552ccd80c62c6508 target=_blank>👤 0xae...6508</a>,"2563, 2505",1056610
25,<a href=https://debank.com/profile/0xf1bb85b4d326bd8743d3fc1feb440f16dd784cbd target=_blank>👤 0xf1...4cbd</a>,<a href=https://arbiscan.io/address/0xf1bb85b4d326bd8743d3fc1feb440f16dd784cbd target=_blank>👤 0xf1...4cbd</a>,"2562, 21",1035195
26,<a href=https://debank.com/profile/0x3ef000bae3e8105be55f76fda784fd7d69cff30e target=_blank>👤 0x3e...f30e</a>,<a href=https://arbiscan.io/address/0x3ef000bae3e8105be55f76fda784fd7d69cff30e target=_blank>👤 0x3e...f30e</a>,8,988101
27,<a href=https://debank.com/profile/0x9bbdcc17f2a10a7e513974b2ad01806285bc17df target=_blank>👤 0x9b...17df</a>,<a href=https://arbiscan.io/address/0x9bbdcc17f2a10a7e513974b2ad01806285bc17df target=_blank>👤 0x9b...17df</a>,2357,867048
28,<a href=https://debank.com/profile/0x8783fbd927ca247bf0685e2b5b757ed7f85a6a86 target=_blank>👤 0x87...6a86</a>,<a href=https://arbiscan.io/address/0x8783fbd927ca247bf0685e2b5b757ed7f85a6a86 target=_blank>👤 0x87...6a86</a>,46,750377
29,<a href=https://debank.com/profile/0x77e2d5da7fb85093f91273afa6f175a7ac102f04 target=_blank>👤 0x77...2f04</a>,<a href=https://arbiscan.io/address/0x77e2d5da7fb85093f91273afa6f175a7ac102f04 target=_blank>👤 0x77...2f04</a>,"1215, 79, 804",603149
30,<a href=https://debank.com/profile/0x98d1d755807c8e98824f003c402ab40c1a7e1847 target=_blank>👤 0x98...1847</a>,<a href=https://arbiscan.io/address/0x98d1d755807c8e98824f003c402ab40c1a7e1847 target=_blank>👤 0x98...1847</a>,32,593869
31,<a href=https://debank.com/profile/0x029f5cb93f391dd140b03af7b8d492a17a6a073a target=_blank>👤 0x02...073a</a>,<a href=https://arbiscan.io/address/0x029f5cb93f391dd140b03af7b8d492a17a6a073a target=_blank>👤 0x02...073a</a>,"1284, 1278, 1280, 1279",533670
32,<a href=https://debank.com/profile/0xf1d5345d0bf4bde68364887f48f5148bd25cb05b target=_blank>👤 0xf1...b05b</a>,<a href=https://arbiscan.io/address/0xf1d5345d0bf4bde68364887f48f5148bd25cb05b target=_blank>👤 0xf1...b05b</a>,2074,469913
33,<a href=https://debank.com/profile/0x011b0a055e02425461a1ae95b30f483c4ff05be7 target=_blank>👤 0x01...5be7</a>,<a href=https://arbiscan.io/address/0x011b0a055e02425461a1ae95b30f483c4ff05be7 target=_blank>👤 0x01...5be7</a>,2379,462720
34,<a href=https://debank.com/profile/0xbf891e7efcc98a8239385d3172ba10ad593c7886 target=_blank>👤 0xbf...7886</a>,<a href=https://arbiscan.io/address/0xbf891e7efcc98a8239385d3172ba10ad593c7886 target=_blank>👤 0xbf...7886</a>,2451,459002
35,<a href=https://debank.com/profile/0xc9c384a9e7e28f7ef55903eb90947fe3ce71d475 target=_blank>👤 0xc9...d475</a>,<a href=https://arbiscan.io/address/0xc9c384a9e7e28f7ef55903eb90947fe3ce71d475 target=_blank>👤 0xc9...d475</a>,"1408, 119",452914
36,<a href=https://debank.com/profile/0x37ebefeab5491ad7ec00eb79e288c809ed03e36e target=_blank>👤 0x37...e36e</a>,<a href=https://arbiscan.io/address/0x37ebefeab5491ad7ec00eb79e288c809ed03e36e target=_blank>👤 0x37...e36e</a>,"2589, 2573",439810
37,<a href=https://debank.com/profile/0xf9c6f2ac725fd4497de30d0d3d7c65d578c2d864 target=_blank>👤 0xf9...d864</a>,<a href=https://arbiscan.io/address/0xf9c6f2ac725fd4497de30d0d3d7c65d578c2d864 target=_blank>👤 0xf9...d864</a>,2346,409959
38,<a href=https://debank.com/profile/0xdc6b5549763d893b01a41acf0d7d77ccb44f3417 target=_blank>👤 0xdc...3417</a>,<a href=https://arbiscan.io/address/0xdc6b5549763d893b01a41acf0d7d77ccb44f3417 target=_blank>👤 0xdc...3417</a>,2358,406814
39,<a href=https://debank.com/profile/0xc7c10871096b36b036e41d45d15b32b0cc74b806 target=_blank>👤 0xc7...b806</a>,<a href=https://arbiscan.io/address/0xc7c10871096b36b036e41d45d15b32b0cc74b806 target=_blank>👤 0xc7...b806</a>,2525,392936
40,<a href=https://debank.com/profile/0x0172e05392aba65366c4dbbb70d958bbf43304e4 target=_blank>👤 0x01...04e4</a>,<a href=https://arbiscan.io/address/0x0172e05392aba65366c4dbbb70d958bbf43304e4 target=_blank>👤 0x01...04e4</a>,295,389760
41,<a href=https://debank.com/profile/0xc3c2a85272201f941f38e9c15fcd68cbf26cb09d target=_blank>👤 0xc3...b09d</a>,<a href=https://arbiscan.io/address/0xc3c2a85272201f941f38e9c15fcd68cbf26cb09d target=_blank>👤 0xc3...b09d</a>,575,297419
42,<a href=https://debank.com/profile/0x1a4e36ed47f0e919eec35d196c5cb1b8c69bd90e target=_blank>👤 0x1a...d90e</a>,<a href=https://arbiscan.io/address/0x1a4e36ed47f0e919eec35d196c5cb1b8c69bd90e target=_blank>👤 0x1a...d90e</a>,1320,295840
43,<a href=https://debank.com/profile/0xffe6212baf6c88850dcd6511cd32be11c50d3a61 target=_blank>👤 0xff...3a61</a>,<a href=https://arbiscan.io/address/0xffe6212baf6c88850dcd6511cd32be11c50d3a61 target=_blank>👤 0xff...3a61</a>,2429,259278
44,<a href=https://debank.com/profile/0xba9e65f1591ff067a6d47a3185465fab1ed4be25 target=_blank>👤 0xba...be25</a>,<a href=https://arbiscan.io/address/0xba9e65f1591ff067a6d47a3185465fab1ed4be25 target=_blank>👤 0xba...be25</a>,"2335, 2352",245034
45,<a href=https://debank.com/profile/0x4229f5429301ab35a079ca91db550d40fc43eb19 target=_blank>👤 0x42...eb19</a>,<a href=https://arbiscan.io/address/0x4229f5429301ab35a079ca91db550d40fc43eb19 target=_blank>👤 0x42...eb19</a>,1189,239854
46,<a href=https://debank.com/profile/0x1fc72d4effb03db6d71c2a7b9ac97497a42be23d target=_blank>👤 0x1f...e23d</a>,<a href=https://arbiscan.io/address/0x1fc72d4effb03db6d71c2a7b9ac97497a42be23d target=_blank>👤 0x1f...e23d</a>,884,234624
47,<a href=https://debank.com/profile/0x62cdcb1efa5f518e95ee69530d9b79dadd0657fb target=_blank>👤 0x62...57fb</a>,<a href=https://arbiscan.io/address/0x62cdcb1efa5f518e95ee69530d9b79dadd0657fb target=_blank>👤 0x62...57fb</a>,566,222880
48,<a href=https://debank.com/profile/0xcf2c2fdc9a5a6fa2fc237dc3f5d14dd9b49f66a3 target=_blank>👤 0xcf...66a3</a>,<a href=https://arbiscan.io/address/0xcf2c2fdc9a5a6fa2fc237dc3f5d14dd9b49f66a3 target=_blank>👤 0xcf...66a3</a>,1108,216039
49,<a href=https://debank.com/profile/0xfcecc24729bccb72fb3ec5d9bcb25a8051e246fb target=_blank>👤 0xfc...46fb</a>,<a href=https://arbiscan.io/address/0xfcecc24729bccb72fb3ec5d9bcb25a8051e246fb target=_blank>👤 0xfc...46fb</a>,2317,208530
50,<a href=https://debank.com/profile/0x6fb2775c1424b5b10bd810be11f68274264a7e48 target=_blank>👤 0x6f...7e48</a>,<a href=https://arbiscan.io/address/0x6fb2775c1424b5b10bd810be11f68274264a7e48 target=_blank>👤 0x6f...7e48</a>,"1531, 1490, 1328",198426
51,<a href=https://debank.com/profile/0xf712ab8c4505eb4b36a2ff9fa746470be81e6538 target=_blank>👤 0xf7...6538</a>,<a href=https://arbiscan.io/address/0xf712ab8c4505eb4b36a2ff9fa746470be81e6538 target=_blank>👤 0xf7...6538</a>,"870, 157",196592
52,<a href=https://debank.com/profile/0xeb6772188cf10aa563a1cd163f48355d1a949797 target=_blank>👤 0xeb...9797</a>,<a href=https://arbiscan.io/address/0xeb6772188cf10aa563a1cd163f48355d1a949797 target=_blank>👤 0xeb...9797</a>,1558,187338
53,<a href=https://debank.com/profile/0xe5fae1a033ad8cb1355e8f19811380afd15b8bba target=_blank>👤 0xe5...8bba</a>,<a href=https://arbiscan.io/address/0xe5fae1a033ad8cb1355e8f19811380afd15b8bba target=_blank>👤 0xe5...8bba</a>,146,178414
54,<a href=https://debank.com/profile/0x2d1bdc590cb736097bc5577c8974e28dc48f5ecc target=_blank>👤 0x2d...5ecc</a>,<a href=https://arbiscan.io/address/0x2d1bdc590cb736097bc5577c8974e28dc48f5ecc target=_blank>👤 0x2d...5ecc</a>,"2287, 982, 978, 427, 952, 951, 950",166988
